step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
228,0.02452,1.0,,
229,0.02795,1.0,,
230,0.46387,0.66667,,
231,1.2345,0.66667,,
232,1.09557,0.66667,,
233,0.02283,1.0,,
234,0.007,1.0,,
235,0.01872,1.0,,
236,0.03429,1.0,,
237,0.01851,1.0,,
238,0.75925,0.66667,,
239,0.62547,0.66667,,
240,0.01381,1.0,,
241,0.87236,0.66667,,
242,0.0169,1.0,,
243,0.88542,0.66667,,
244,0.80881,0.66667,,
245,0.51167,0.66667,,
246,0.04185,1.0,,
247,0.04005,1.0,,
248,0.0422,1.0,,
249,0.02248,1.0,,
250,0.02983,1.0,,
251,0.86341,0.66667,,
252,0.02383,1.0,,
253,1.13844,0.66667,,
254,0.04532,1.0,,
255,0.80986,0.66667,,
256,0.0071,1.0,,
257,0.80431,0.66667,,
258,0.63691,0.66667,,
259,0.00888,1.0,,
260,0.12126,1.0,,
261,1.53236,0.66667,,
262,1.25941,0.66667,,
263,1.08644,0.66667,,
264,0.69053,0.66667,,
265,0.01893,1.0,,
266,0.01421,1.0,,
267,0.01161,1.0,,
268,0.01575,1.0,,
269,0.59766,0.66667,,
270,0.01197,1.0,,
271,0.70986,0.66667,,
272,0.0164,1.0,,
273,0.98387,0.66667,,
274,0.02143,1.0,,
275,0.0084,1.0,,
276,0.94278,0.66667,,
277,0.86609,0.66667,,
278,1.2193,0.66667,,
279,1.26662,0.66667,,
280,0.0048,1.0,,
281,1.17233,0.66667,,
282,0.02188,1.0,,
283,0.01786,1.0,,
284,0.76067,0.66667,,
285,0.95644,0.66667,,
286,0.00242,1.0,,
287,0.01055,1.0,,
288,0.00486,1.0,,
289,0.87079,0.66667,,
290,0.84096,0.66667,,
291,0.03031,1.0,,
292,1.3618,0.66667,,
293,0.00261,1.0,,
294,0.00579,1.0,,
295,0.00771,1.0,,
296,0.0322,1.0,,
297,0.76183,0.66667,,
298,0.00259,1.0,,
299,0.01608,1.0,,
300,0.00205,1.0,,
301,0.00217,1.0,1.81278,0.0
302,0.70436,0.66667,,
303,1.16903,0.66667,,
304,0.98836,0.66667,,
305,0.95067,0.66667,,
306,0.01218,1.0,,
307,0.0163,1.0,,
308,0.65871,0.66667,,
309,1.08253,0.66667,,
310,0.80955,0.66667,,
311,0.87957,0.66667,,
312,1.11333,0.66667,,
313,0.14827,1.0,,
314,1.08831,0.66667,,
315,0.32925,0.66667,,
316,0.13125,1.0,,
317,0.69804,0.66667,,
318,0.00462,1.0,,
319,0.06223,1.0,,
320,0.01044,1.0,,
321,0.90928,0.66667,,
322,0.00933,1.0,,
323,0.02389,1.0,,
324,0.07825,1.0,,
325,0.19035,1.0,,
326,0.02628,1.0,,
327,0.00976,1.0,,
328,0.6404,0.66667,,
329,0.01918,1.0,,
330,0.01312,1.0,,
331,0.0542,1.0,,
332,0.23823,0.66667,,
333,0.00943,1.0,,
334,0.00509,1.0,,
335,1.4254,0.66667,,
336,0.0057,1.0,,
337,0.02229,1.0,,
338,0.31804,0.66667,,
339,0.00703,1.0,,
340,1.06125,0.66667,,
341,1.04181,0.66667,,
342,1.31144,0.66667,,
343,0.8767,0.66667,,
344,0.00197,1.0,,
345,0.57219,0.66667,,
346,0.00754,1.0,,
347,0.60538,0.66667,,
348,0.01297,1.0,,
349,0.00994,1.0,,
350,0.64808,0.66667,,
351,1.31821,0.66667,,
352,0.00043,1.0,,
353,0.85618,0.66667,,
354,0.00086,1.0,,
355,0.00185,1.0,,
356,0.62855,0.66667,,
357,0.58479,0.66667,,
358,1.60404,0.66667,,
359,0.00051,1.0,,
360,0.01139,1.0,,
361,0.34251,0.66667,,
362,0.01076,1.0,,
363,0.03475,1.0,,
364,0.0022,1.0,,
365,0.01167,1.0,,
366,0.01358,1.0,,
367,0.00174,1.0,,
368,0.03509,1.0,,
369,0.01407,1.0,,
370,0.68433,0.66667,,
371,0.00177,1.0,,
372,1.84847,0.66667,,
373,0.14937,1.0,,
374,0.00058,1.0,,
375,1.09492,0.66667,,
376,0.0005,1.0,,
377,1.25778,0.66667,,
378,0.00475,1.0,,
379,0.09647,1.0,,
380,0.04396,1.0,,
381,0.00039,1.0,,
382,1.65274,0.66667,,
383,0.01881,1.0,,
384,0.00038,1.0,,
385,1.77016,0.66667,,
386,1.17544,0.66667,,
387,0.89157,0.66667,,
388,3.252,0.66667,,
389,0.00418,1.0,,
390,0.00188,1.0,,
391,0.00048,1.0,,
392,0.06493,1.0,,
393,0.00316,1.0,,
394,1.08079,0.66667,,
395,1.42337,0.66667,,
396,0.00289,1.0,,
397,1.25995,0.66667,,
398,0.00075,1.0,,
399,0.00377,1.0,,
400,0.06952,1.0,,
401,2.72873,0.66667,0.01544,0.33333
402,2.51746,0.66667,,
403,0.00085,1.0,,
404,1.81612,0.66667,,
405,1.61623,0.66667,,
406,1.55567,0.66667,,
407,0.07264,1.0,,
408,1.49236,0.66667,,
409,0.00034,1.0,,
410,0.00125,1.0,,
411,0.23277,0.66667,,
412,0.00207,1.0,,
413,7e-05,1.0,,
414,0.00621,1.0,,
415,0.00029,1.0,,
416,0.00022,1.0,,
417,0.00021,1.0,,
